Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Stress Level
82.5698,95.55137,10291.389,9.337518,Actve,1.0
77.96393,95.00985,2676.5369,6.7572565,Seddentary,6.0
90.76258,94.86025,6851.846,6.235211,Seddentary,4.0
70.81291,97.221794,15182.672,8.763733,Highly Active,4.0
70.011314,99.86638,502.63065,7.3927937,Highly_Active,10.0
92.67102,95.07725,8627.838,5.87963,Highly_Active,2.0
68.100136,100.0,8808.584,6.8579135,Seddentary,4.0
60.82607,96.92388,11060.184,6.8272476,Seddentary,1.0
63.778057,95.87135,2193.846,6.1918516,Highly_Active,6.0
86.229256,100.0,3771.2263,6.773624,Actve,5.0
115.078285,99.92804,1918.3722,6.505463,Highly_Active,4.0
61.684635,99.626755,2583.074,5.965979,Seddentary,8.0
84.67723,98.4634,24206.262,7.146886,Seddentary,1.0
77.30664,95.855095,4129.7637,5.7076287,Active,2.0
91.92284,100.0,13212.611,5.162689,Actve,1.0
84.54569,98.0575,11089.116,6.439035,Actve,8.0
92.85284,98.270676,4115.5347,5.790921,Active,1.0
79.382034,98.785675,33956.72,4.516866,Active,7.0
62.47839,99.98257,12862.302,4.5543127,Sedentary,6.0
64.79978,94.74386,4613.8594,6.505463,Highly_Active,10.0
78.17971,97.91524,2594.4604,6.6358504,Highly Active,10.0
82.00624,97.09234,547.9602,6.9710464,Highly_Active,5.0
69.23683,100.0,4375.8022,6.0520306,Actve,2.0
75.220604,100.0,3124.118,4.229888,Actve,1.0
89.11833,98.58594,8698.435,5.1888027,Active,2.0
43.7414,95.37324,139.12193,6.017092,Seddentary,3.0
73.15646,96.81892,12463.563,7.154135,Sedentary,5.0
59.554237,92.94841,3772.5132,3.877074,Highly_Active,2.0
103.59424,100.0,4440.6167,3.0331903,Actve,7.0
41.709896,96.857346,1413.0157,6.505463,Highly_Active,4.0
81.28113,100.0,19406.117,7.3968205,Active,2.0
76.84987,96.88067,3556.9885,5.1858773,Highly_Active,1.0
87.20861,97.605225,12948.307,6.147989,Sedentary,5.0
79.841415,97.24506,1897.6421,5.8681583,Actve,4.0
106.03987,94.807526,711.5706,6.934495,Seddentary,10.0
88.76896,94.74364,7069.6147,5.7388835,Highly Active,7.0
47.428604,100.0,29130.793,4.7770996,Highly Active,2.0
96.06324,96.47894,7287.852,7.2339687,Highly_Active,1.0
78.0473,99.495804,6568.2,9.221595,Seddentary,9.0
96.0887,100.0,4086.6692,7.294682,Highly_Active,2.0
70.24381,97.171135,2336.5835,6.505463,Highly Active,7.0
59.065056,98.92118,3945.073,6.1786094,Actve,9.0
56.229343,98.57779,1129.0479,5.316883,Highly Active,8.0
90.920944,98.66834,2125.796,5.8886557,Seddentary,4.0
86.95767,98.9783,4677.617,7.088512,Highly_Active,8.0
66.12079,95.6004,1094.9031,8.2808485,Highly_Active,2.0
40.0,95.107994,10975.782,8.34784,Active,4.0
91.495125,97.93118,81.4007,6.755557,Actve,6.0
44.437138,100.0,2716.0596,6.7801948,Actve,6.0
107.608665,99.83937,5089.121,6.578325,Seddentary,10.0
53.318787,95.16805,18510.383,7.356517,Highly Active,2.0
75.21115,99.15081,5964.216,6.5721397,Sedentary,2.0
78.45025,98.505066,2445.949,6.596703,Actve,6.0
75.220604,98.27656,3039.1123,5.209658,Seddentary,6.0
79.86426,98.24457,2899.6936,5.173969,Actve,9.0
76.9566,98.61611,1392.3105,5.4632845,Sedentary,5.0
68.48889,97.93978,1095.3379,6.8598843,Actve,9.0
71.64829,96.80492,4586.0444,6.0404,Seddentary,9.0
65.22272,97.55307,2205.4788,10.373568,Highly_Active,4.0
76.73815,94.30245,674.36505,7.081895,Highly Active,10.0
48.69172,99.04517,1707.6989,8.856212,Seddentary,8.0
79.731926,98.996506,5148.381,8.7271185,Highly Active,10.0
73.51992,100.0,2078.4087,7.137005,Seddentary,9.0
87.62148,99.22451,1900.2931,6.4387417,Seddentary,9.0
70.44504,97.6173,6785.192,5.1515117,Highly Active,3.0
84.033424,98.973434,8185.1143,5.5972033,Active,1.0
83.28038,97.36307,1932.5426,7.760553,Actve,6.0
72.914024,96.65777,4472.4863,6.904473,Actve,6.0
80.293236,93.21915,10124.295,5.536325,Highly_Active,10.0
54.860004,98.77628,8196.119,6.1888685,Highly Active,4.0
95.12348,98.9975,502.65826,6.994176,Sedentary,9.0
66.81681,100.0,3124.7842,6.5372124,Active,7.0
72.325264,100.0,8993.135,6.142746,Actve,3.0
59.207478,98.69427,1384.3563,6.4178114,Actve,2.0
63.476826,95.50821,1526.4581,2.8767085,Actve,10.0
99.653076,95.59659,6963.015,6.527311,Actve,7.0
77.06835,98.44329,2336.0913,4.9125743,Active,2.0
70.54823,99.794754,2738.3516,7.0452137,Seddentary,1.0
70.46467,99.91707,5178.9663,6.7009425,Highly Active,4.0
75.029686,97.13167,9720.337,7.6226096,Seddentary,2.0
85.83687,93.79927,4828.115,7.637279,Highly Active,10.0
77.90758,97.84158,15672.468,9.07947,Sedentary,10.0
78.22792,97.84158,789.3659,3.525299,Seddentary,3.0
61.152405,98.670715,9821.214,6.3109126,Active,6.0
70.59302,97.47398,9821.214,3.4392877,Highly_Active,6.0
77.34781,97.40257,11875.903,7.236045,Sedentary,9.0
74.532135,98.95516,2662.7097,6.2494545,Sedentary,7.0
68.76189,97.280396,4605.831,5.7938585,Actve,4.0
67.38743,100.0,12144.917,6.900528,Actve,4.0
81.53347,97.61893,12477.436,4.920717,Actve,10.0
81.902954,94.540695,3301.1274,6.505463,Highly Active,4.0
89.84119,92.90617,12089.514,6.133375,Actve,7.0
77.93676,99.067635,8028.703,6.6148,Seddentary,5.0
43.85678,99.26841,3686.664,6.307211,Sedentary,9.0
110.37437,99.230934,24477.521,7.8836145,Seddentary,9.0
74.86798,95.37734,219.6713,4.696693,Highly Active,6.0
68.84966,96.229805,3376.3801,7.742313,Highly Active,7.0
74.12759,100.0,2566.5986,5.722153,Actve,10.0
69.058586,97.630936,19215.953,5.73525,Sedentary,2.0
62.719437,96.76113,733.2723,7.8190894,Highly Active,9.0
84.2183,100.0,6922.49,6.097696,Active,10.0
72.771805,95.941284,8826.964,7.420673,Sedentary,8.0
73.65841,97.16845,1424.8949,7.4486804,Highly Active,5.0
40.0,100.0,1137.2003,5.976296,Highly_Active,8.0
71.60268,100.0,343.0916,6.84941,Highly Active,4.0
58.850876,100.0,1211.1067,5.774156,Seddentary,7.0
75.220604,99.47846,11559.664,6.4706516,Highly_Active,7.0
78.544205,100.0,20171.348,7.2105284,Actve,5.0
65.797325,99.88366,16218.367,5.0648694,Highly_Active,2.0
67.866875,98.66197,3182.2727,7.16044,Active,9.0
76.448654,98.023506,9059.211,6.505463,Highly_Active,8.0
67.4023,97.39335,12283.013,4.266501,Seddentary,4.0
59.170303,95.51981,11717.293,5.3808837,Actve,6.0
49.177414,93.571594,453.15073,5.462778,Sedentary,3.0
80.04864,99.90686,1692.9885,5.8334174,Active,4.0
67.25243,97.79978,19571.854,5.066163,Highly Active,3.0
50.017185,96.28539,9426.989,7.9087396,Active,9.0
93.68494,100.0,12585.249,6.505463,Highly_Active,10.0
80.07038,100.0,5052.602,5.318184,Sedentary,8.0
57.18074,97.68595,3495.2317,4.768745,Highly Active,4.0
64.43046,99.138794,7373.271,6.4799914,Active,1.0
90.69618,97.94601,4481.9805,6.505463,Seddentary,7.0
75.220604,97.271965,3276.1748,9.731299,Active,4.0
68.72445,100.0,2992.6392,5.4881315,Highly Active,4.0
86.260124,98.53933,1203.0537,3.0875604,Seddentary,3.0
72.48275,95.501564,5276.424,4.268778,Seddentary,7.0
93.44505,98.72611,5135.547,3.8263118,Seddentary,2.0
68.809494,99.26894,6254.338,7.1252594,Sedentary,5.0
66.44446,100.0,864.85876,6.6462917,Active,7.0
75.24888,98.580925,17249.389,6.8257856,Sedentary,1.0
89.47016,98.1166,9485.093,8.188895,Actve,3.0
78.7427,99.0282,982.5959,8.943408,Seddentary,10.0
76.55318,95.894356,578.68134,7.764434,Highly_Active,10.0
62.889202,100.0,7208.581,7.60279,Highly_Active,2.0
60.685257,100.0,2924.5642,4.288913,Highly Active,4.0
89.48663,97.84158,2689.8499,5.737108,Seddentary,6.0
91.06264,98.63373,12827.679,8.577232,Highly Active,4.0
90.578926,95.2452,2963.3708,5.6755095,Highly_Active,3.0
86.86576,98.056984,7001.1694,8.158332,Actve,2.0
81.697754,98.997505,5391.324,6.685071,Active,4.0
81.46814,95.949,2135.8618,7.674779,Actve,2.0
77.0039,96.90903,2820.499,5.192241,Highly Active,6.0
83.43108,97.030014,20076.656,7.644701,Sedentary,10.0
74.37464,96.74961,2817.7012,5.540784,Seddentary,5.0
75.220604,100.0,10727.449,6.845818,Highly_Active,4.0
88.7634,97.669754,13826.856,6.4563537,Highly Active,3.0
56.133556,100.0,515.8121,8.288057,Sedentary,3.0
91.44471,97.02664,7615.898,7.748109,Seddentary,2.0
74.13283,97.309105,9683.387,3.851434,Highly Active,7.0
96.873,98.09283,3984.3965,5.2844,Actve,9.0
94.05699,98.41266,5896.812,5.5461617,Seddentary,1.0
59.53872,95.89695,1235.5387,7.537609,Seddentary,9.0
75.220604,98.71064,1235.5387,5.7569585,Highly_Active,8.0
47.012497,95.77689,8609.031,4.865952,Sedentary,10.0
69.20885,100.0,6459.177,4.453029,Highly_Active,1.0
80.3361,96.93441,1026.4036,7.5910306,Highly_Active,1.0
87.704315,99.729996,30988.406,3.3896973,Sedentary,6.0
76.03854,96.87816,19440.578,8.0827055,Seddentary,7.0
81.641396,100.0,1776.2773,4.569632,Active,9.0
64.46344,97.0521,14562.846,5.8284235,Seddentary,10.0
74.714714,97.89234,2175.884,4.747245,Highly Active,6.0
66.14762,97.516045,5806.604,5.121265,Highly_Active,5.0
79.23837,97.40902,10664.459,6.1648755,Actve,2.0
95.84592,95.063866,2952.0173,6.505463,Seddentary,7.0
74.14595,96.54645,5670.086,4.1804814,Highly_Active,1.0
54.43357,98.70185,4189.361,5.8919454,Highly Active,4.0
77.944145,99.09421,9995.61,6.65485,Highly Active,5.0
85.581535,95.725136,4559.6807,7.2019277,Highly Active,6.0
61.229603,96.6918,5857.6875,3.4363723,Actve,1.0
93.62762,97.841835,13075.543,5.781741,Highly Active,9.0
66.05491,98.16278,8396.276,3.419573,Highly_Active,9.0
63.59647,98.76671,5248.0713,5.737648,Actve,4.0
48.290695,100.0,4330.066,5.8543057,Sedentary,1.0
79.03199,98.67266,948.85925,7.4437137,Sedentary,8.0
102.239876,95.99049,406.1219,7.9601383,Highly_Active,8.0
80.50125,99.38965,21369.887,4.9673147,Seddentary,7.0
63.98725,99.9633,1445.094,6.9413934,Highly_Active,10.0
82.69826,94.839134,2269.1804,7.4825163,Actve,3.0
87.005295,98.93962,6608.3057,5.379426,Sedentary,2.0
92.40998,100.0,12318.803,7.659508,Highly Active,7.0
56.47534,96.70363,12534.283,6.703951,Sedentary,10.0
98.2959,99.394714,12389.195,6.0898156,Active,7.0
78.20169,96.59973,26745.049,6.712643,Highly Active,5.0
101.29792,97.40638,401.20215,4.1296973,Actve,9.0
77.333824,96.23825,3574.0085,6.7106957,Active,7.0
83.65144,99.245674,17140.38,5.231295,Sedentary,8.0
60.77058,99.53061,4409.075,6.5432425,Actve,6.0
89.77261,98.83912,14351.715,5.89127,Sedentary,1.0
58.846306,99.18875,124.699295,6.932588,Highly Active,9.0
79.03168,99.44856,4913.448,8.287804,Sedentary,7.0
68.5419,100.0,17898.027,6.690708,Highly_Active,10.0
73.67843,96.84998,2119.8816,8.000679,Sedentary,8.0
91.27837,92.93868,18580.734,4.9656177,Actve,2.0
69.67466,97.18216,59.593967,8.650519,Seddentary,7.0
91.58512,97.19877,575.516,4.980903,Highly Active,10.0
68.895546,99.64264,4534.8696,4.6198425,Sedentary,3.0
76.96359,97.84158,787.31946,6.0877547,Actve,3.0
107.24725,98.539536,1789.643,5.83331,Highly Active,4.0
76.82583,100.0,2472.0186,4.1270103,Seddentary,10.0
73.86205,98.026985,4597.653,4.8082337,Active,9.0
77.09921,97.84158,3465.971,1.1086137,Highly Active,9.0
70.04626,96.58309,17870.588,4.4731703,Highly_Active,5.0
75.220604,99.4405,15201.798,5.5102396,Active,10.0
105.88722,97.82079,9650.253,8.734772,Active,10.0
68.905136,96.866425,7537.4414,7.56956,Highly_Active,3.0
52.162834,98.116135,1600.0925,6.98525,Highly_Active,6.0
72.66891,99.67921,6446.068,9.7479315,Highly Active,5.0
80.353096,97.78038,1113.4852,3.8113713,Highly_Active,6.0
71.883064,97.66808,4219.552,6.3984504,Actve,4.0
74.26884,97.90548,4333.083,9.553164,Seddentary,5.0
72.54146,98.5416,8191.7344,6.505463,Active,1.0
81.38305,98.41415,12618.047,5.2583303,Actve,8.0
87.28467,98.39045,2704.8098,7.726007,Highly_Active,5.0
72.11304,95.56106,294.37274,5.6649213,Sedentary,9.0
113.844696,97.70705,336.765,8.38895,Seddentary,10.0
75.220604,100.0,14546.258,7.7472363,Highly_Active,3.0
74.91815,99.15526,4663.163,6.214264,Highly Active,6.0
55.22348,100.0,1995.2498,7.970859,Highly Active,3.0
76.71409,98.82701,229.73608,6.1466784,Highly_Active,7.0
87.20828,98.43587,5266.779,6.6990685,Highly_Active,1.0
87.32325,100.0,1032.153,7.3778644,Sedentary,6.0
75.220604,97.11573,3777.3137,5.9156947,Seddentary,4.0
76.73042,97.00411,5080.817,8.765433,Active,2.0
67.7912,100.0,1822.2874,6.604978,Sedentary,6.0
97.45794,99.80965,1551.8344,6.9344716,Seddentary,1.0
76.85519,97.436134,140.04816,4.5254145,Highly Active,4.0
40.736862,96.73192,6165.127,5.533187,Active,1.0
80.5249,95.937035,1565.8666,6.744326,Highly_Active,8.0
45.75178,97.363075,14739.26,7.803103,Highly Active,3.0
81.75174,99.845184,6480.4385,8.619396,Highly_Active,2.0
113.807976,93.65404,5690.0503,4.9089804,Active,8.0
95.40519,100.0,4917.925,5.2600727,Seddentary,6.0
75.220604,99.4159,1697.2665,4.655226,Sedentary,7.0
65.10809,95.93513,24409.676,7.2404194,Active,8.0
94.11248,98.11743,23888.207,8.619994,Seddentary,5.0
84.53835,96.98896,2712.748,6.26304,Sedentary,1.0
70.99739,96.192894,10479.524,6.5875616,Highly_Active,8.0
66.9186,98.58285,888.839,6.6987953,Highly Active,5.0
61.398914,99.07806,10615.741,5.796395,Actve,6.0
80.62026,99.53887,2361.3613,4.6680374,Seddentary,2.0
68.74855,94.42642,2388.904,8.089944,Sedentary,6.0
77.517715,97.114,4954.036,6.73138,Seddentary,6.0
88.91652,99.24302,3486.851,5.677729,Seddentary,9.0
68.374374,99.94165,877.60254,11.00769,Actve,7.0
84.6765,98.505,6293.9214,6.495747,Actve,8.0
93.33494,100.0,1684.1968,3.9319696,Actve,3.0
80.92771,98.39173,4114.952,7.4822135,Actve,4.0
85.4935,99.05622,1838.7474,3.7376873,Highly_Active,10.0
81.03959,96.32947,13643.081,7.199018,Highly_Active,8.0
75.24393,99.45274,2887.6572,7.159197,Highly Active,10.0
87.557076,95.388466,15293.044,8.56983,Actve,10.0
99.138214,95.95241,2762.6863,4.9965367,Actve,3.0
87.824875,96.46482,1384.8646,6.0595064,Sedentary,8.0
75.220604,100.0,6016.638,6.396389,Active,3.0
72.48806,97.28539,5669.9346,7.798634,Sedentary,8.0
73.04916,98.895004,6753.1035,7.1513643,Highly Active,2.0
89.21141,99.123184,2518.1533,7.278189,Highly Active,1.0
67.10641,99.060165,2699.3174,8.328239,Actve,3.0
59.634422,95.97641,1897.4276,6.1667757,Actve,8.0
82.03385,98.7358,18456.717,8.694089,Seddentary,6.0
75.324646,96.0604,8040.997,6.3674965,Seddentary,4.0
97.21975,94.71327,9881.45,7.8431916,Sedentary,2.0
41.150352,100.0,1511.1178,5.756729,Sedentary,5.0
78.12127,97.50414,7584.2373,7.3925467,Highly Active,5.0
68.94409,97.6051,10067.958,8.2372265,Seddentary,5.0
87.15419,100.0,2934.7063,4.8768916,Highly_Active,1.0
70.8001,99.68221,1201.2719,7.916525,Seddentary,7.0
66.359245,96.85574,8358.256,6.505463,Actve,3.0
89.0382,98.719574,6611.816,9.557593,Active,7.0
94.1848,99.179924,5999.853,6.10416,Highly Active,9.0
73.53479,95.5342,1411.1013,6.9402413,Seddentary,5.0
73.82251,96.66417,2131.3494,6.2658896,Seddentary,5.0
94.05871,97.5154,6863.6494,7.494262,Active,1.0
92.38263,98.233025,6655.926,3.2251995,Actve,10.0
90.47138,100.0,5663.408,4.384431,Sedentary,7.0
68.95904,96.82118,10231.332,7.5028477,Sedentary,5.0
65.12297,100.0,11798.837,6.539781,Actve,10.0
99.54965,99.14228,2265.72,3.4948125,Highly_Active,10.0
84.14566,94.97949,1200.5651,5.5489025,Actve,2.0
63.877827,98.84608,1572.2305,6.505463,Active,1.0
73.40463,100.0,2312.2644,5.772358,Active,8.0
76.27458,97.809425,20661.816,7.8973336,Actve,3.0
73.41531,96.7287,1032.6992,8.384541,Highly Active,3.0
70.61613,97.066246,14769.969,3.1431863,Highly Active,2.0
93.45903,99.18486,1591.6202,6.3207774,Highly Active,7.0
200.49164,95.44177,2998.762,6.6706223,Highly Active,9.0
108.79968,100.0,941.7045,4.277556,Active,4.0
94.280754,100.0,763.70856,8.379675,Seddentary,4.0
77.04467,99.60608,699.8488,7.056475,Highly_Active,6.0
96.25661,95.90761,2937.9307,7.77577,Actve,4.0
80.2924,100.0,5191.8354,5.831313,Seddentary,7.0
111.274376,100.0,1569.0745,5.331613,Sedentary,6.0
70.27585,100.0,18887.486,5.645862,Sedentary,9.0
81.79568,98.913124,6180.3096,6.334953,Highly Active,5.0
65.98944,98.33422,15143.705,5.861739,Highly_Active,4.0
69.28406,98.850525,1127.9116,7.8583345,Highly Active,3.0
69.87908,99.27695,1084.2617,10.499065,Active,10.0
93.54355,100.0,13129.916,7.3738413,Seddentary,8.0
78.12048,95.60354,5875.006,3.579133,Sedentary,8.0
75.220604,98.7896,19530.912,6.7326083,Highly Active,10.0
76.404884,99.35001,1112.1237,4.718302,Seddentary,3.0
60.39174,100.0,184.53705,5.888491,Highly_Active,10.0
68.38996,97.73329,17385.438,6.44657,Highly_Active,5.0
92.25936,98.50752,8400.728,6.1112876,Active,1.0
54.84812,98.103516,11521.554,4.9474287,Highly Active,9.0
75.220604,98.93881,2456.9778,7.2829094,Highly Active,7.0
50.09293,97.208984,21.497913,3.5091681,Seddentary,4.0
69.18866,99.6433,4616.3604,7.0795355,Highly Active,2.0
49.6559,99.13076,32242.785,5.1469445,Highly_Active,3.0
50.91424,95.44324,16666.658,6.9180474,Highly Active,7.0
71.55301,96.001686,523.2367,4.4829707,Seddentary,1.0
79.70566,97.9769,1455.9198,6.8472376,Active,4.0
61.33312,100.0,2609.9138,8.56597,Active,7.0
80.41658,97.77764,12420.207,5.607967,Actve,9.0
76.66007,96.29431,12189.372,5.5750685,Sedentary,4.0
83.10228,96.91505,1432.0088,7.1487494,Seddentary,7.0
59.39008,99.34355,5331.1826,6.505463,Highly Active,4.0
104.75931,100.0,4877.2036,4.4273987,Highly Active,2.0
57.90978,97.036644,3744.4,8.161441,Highly Active,2.0
65.61886,98.71139,5373.895,7.7134233,Sedentary,7.0
82.72462,97.23922,2424.9822,8.423136,Sedentary,4.0
76.76712,99.58487,5308.269,7.3188524,Active,6.0
87.70378,97.84158,8099.8066,9.331716,Seddentary,6.0
70.35129,99.8657,451.79413,3.6910853,Highly_Active,2.0
56.598015,93.03387,23943.924,8.785871,Active,9.0
52.124092,99.56201,1264.8104,5.9151177,Sedentary,10.0
101.694176,97.76543,3127.277,5.6840467,Seddentary,4.0
70.45512,97.84158,4452.439,5.4283214,Seddentary,8.0
72.48907,98.033325,292.93585,7.2640257,Active,8.0
102.020874,95.665115,5564.1177,7.700365,Actve,4.0
67.61861,98.427185,14280.134,5.800485,Actve,8.0
75.363625,99.63396,16189.732,6.910367,Sedentary,1.0
59.511765,98.53271,2763.6667,10.645765,Actve,8.0
55.315357,95.12019,5727.745,5.4951825,Actve,6.0
103.34666,98.446396,10497.729,5.9082823,Highly Active,10.0
103.55451,99.03561,2040.385,8.629839,Actve,3.0
90.31569,97.1874,5262.4453,4.136731,Highly Active,3.0
89.8127,92.004,3197.916,6.867674,Seddentary,7.0
86.31553,97.02832,3325.6755,2.8769016,Seddentary,8.0
63.910538,97.84158,692.0745,4.4307485,Actve,9.0
79.36093,97.80241,3656.6235,4.7148843,Highly Active,2.0
219.19917,95.49718,1227.8047,5.1852446,Highly_Active,9.0
40.0,95.41811,2509.4368,4.629203,Actve,8.0
91.78905,99.54782,2806.2805,6.8014746,Actve,10.0
83.31975,98.326126,3942.204,8.599767,Seddentary,6.0
55.24171,98.98554,17415.13,9.55859,Sedentary,5.0
69.59569,96.858826,6978.6553,4.9558697,Seddentary,2.0
90.78285,97.04017,25673.125,7.592641,Sedentary,5.0
76.9791,96.72349,6252.3193,8.312757,Sedentary,4.0
49.51831,97.84158,11460.903,6.6813836,Actve,6.0
56.80218,97.07854,12576.763,7.562737,Highly Active,1.0
232.9449,96.01149,9402.746,7.190063,Highly_Active,9.0
75.98791,96.57743,7758.835,7.187799,Seddentary,8.0
90.87775,98.389725,3787.9714,5.395046,Highly_Active,2.0
102.57508,95.999504,5863.5884,3.5091014,Seddentary,6.0
68.117165,98.653984,1507.2405,5.9769645,Highly_Active,2.0
80.28077,94.860214,6740.864,5.3496933,Sedentary,4.0
45.500416,98.60717,5055.0986,6.0831847,Actve,9.0
65.894104,97.84871,11419.11,7.942177,Actve,10.0
83.63624,98.644424,16298.453,8.653513,Highly Active,6.0
72.11872,98.646095,997.3556,6.726097,Highly Active,8.0
81.778206,95.9546,8218.81,4.7239747,Seddentary,2.0
75.220604,98.112564,20976.611,5.9160576,Seddentary,8.0
83.4039,95.74073,17497.088,5.3414297,Highly Active,6.0
79.96234,97.177704,12588.37,6.6859393,Highly Active,1.0
77.86291,99.8775,346.8395,5.7998695,Actve,8.0
75.220604,96.03336,2036.998,7.8539934,Active,4.0
61.144466,97.88693,1123.5516,5.228068,Highly_Active,8.0
95.33421,96.38001,18314.79,9.775149,Highly Active,5.0
86.8862,98.6112,9673.044,6.505463,Actve,2.0
63.162872,99.84592,5311.7886,6.958575,Highly_Active,7.0
75.961395,97.06382,27177.33,4.084189,Highly_Active,2.0
54.12161,98.432045,1515.9459,8.071841,Seddentary,6.0
67.83159,97.55537,7182.191,6.5703244,Highly Active,6.0
83.035545,96.04938,6580.1587,6.8086305,Seddentary,6.0
78.90305,98.70955,2913.4275,5.154115,Sedentary,9.0
76.73661,98.97165,4650.2896,8.128927,Highly_Active,10.0
61.745747,96.02646,1878.6906,7.464264,Sedentary,5.0
58.703247,99.72735,7913.208,5.681877,Active,7.0
89.24978,100.0,3791.8896,6.475165,Seddentary,7.0
100.4041,96.21719,166.82283,5.164516,Highly_Active,3.0
83.249405,100.0,21080.93,5.046278,Actve,2.0
72.41549,98.00801,4871.927,5.5770392,Sedentary,7.0
93.3755,97.86182,8560.517,6.0890703,Actve,5.0
75.220604,100.0,1535.1937,6.5026217,Actve,5.0
90.79594,99.6754,952.58026,6.4335136,Sedentary,2.0
66.05071,96.75323,16289.718,5.2022133,Actve,8.0
66.78721,96.98416,6257.126,7.638562,Actve,4.0
70.008125,98.651535,4759.556,6.505463,Highly_Active,6.0
73.48209,98.630554,5154.5757,7.8704014,Seddentary,10.0
88.724075,97.92305,1886.169,7.5593104,Actve,2.0
55.435024,96.592926,17067.74,2.7461832,Highly Active,3.0
65.93381,96.906235,1687.7288,5.002306,Highly Active,10.0
78.14474,97.9522,1203.879,4.267407,Actve,6.0
83.36738,94.828835,18619.41,3.8410344,Highly Active,8.0
49.427345,98.9952,2084.8232,8.215866,Sedentary,6.0
63.143993,98.51549,13888.142,9.042711,Seddentary,9.0
48.769108,96.1282,10364.629,6.505463,Actve,5.0
64.5081,98.96976,3368.2292,7.206995,Seddentary,8.0
68.43995,94.572044,2051.2266,5.961069,Active,7.0
82.54127,98.73774,9960.377,8.254533,Active,9.0
40.635277,99.79584,6372.1377,6.92004,Sedentary,5.0
84.79903,98.78865,2051.5864,5.7178707,Active,3.0
67.35965,99.20528,15507.115,7.3434453,Active,3.0
69.88651,99.33221,8935.363,6.505463,Active,8.0
89.569435,98.79105,16799.697,6.7933764,Seddentary,4.0
95.173325,97.89366,4027.1804,7.539995,Seddentary,10.0
65.17326,97.36138,960.3628,12.140233,Active,3.0
65.072174,97.84158,18046.098,9.179322,Seddentary,2.0
